,Train R2,Test R2,Test MAE,Test MSE,Test MAPE
Decision Tree,0.9966550882793671,0.6813184591196781,12.57535067761848,294.79038820606604,30.12354265832064
Random Forest,0.9896734559438723,0.8933208232157057,7.94152605450032,98.68157362009144,18.88548060034232
KNN,0.8989954217941903,0.8834684552141836,8.06688931336086,107.79532203455773,22.027050869754966
Gradient Boosting,0.9844859560227818,0.9307817834869495,6.20113874172281,64.02901423297858,14.334368483301263
XGBoost,0.998478456179715,0.9173372781569846,7.171619454353692,76.46560197668872,16.51333007659914
LightGBM,0.995679723532963,0.9172029080298676,6.507801333013395,76.58989854506457,14.439024228325486
CatBoost,0.991982556815863,0.9544330013042692,5.194193428358021,42.150898347589965,12.587493421547583
SVR,0.9415426075855625,0.9278604987032295,6.391769658577125,66.7312939855944,17.40129329582398
MLP,0.9535675662069872,0.9200616323547101,6.646370195475576,73.94548917272837,19.133931335978097
