Model,Best Params,CV Mean R2,CV Mean MSE,Test R2,Test MSE,Test MAE,Test MAPE
RandomForest,"{'n_estimators': 50, 'min_samples_split': 2, 'max_depth': None}",0.9034643417139782,95.2880953536774,0.9215515759981102,96.80565123103767,7.274618200000006,20.443258523797994
DecisionTree,"{'min_samples_split': 2, 'max_depth': None}",0.838700437781584,161.85735572073202,0.840364880902726,196.99033932388,12.523558000000001,30.152892703415162
KNN,"{'weights': 'distance', 'n_neighbors': 5}",0.8959108093708565,113.44954009962873,0.9126164317075625,107.8316530009258,8.07807589067969,22.191062727100235
GBM,"{'n_estimators': 200, 'max_depth': 3, 'learning_rate': 0.1}",0.9758660563927158,24.635864038712477,0.9655687926960949,42.488239733727525,4.082198019631949,8.949304201860883
SVR,"{'gamma': 'auto', 'C': 100}",0.9910810141471564,11.09693476904689,0.9952359517141784,5.878853561085653,1.9113207121784868,4.2232350927908335
MLP,"{'hidden_layer_sizes': (50, 50), 'alpha': 0.001}",0.9938431627027569,6.047167133515904,0.994067465712494,7.320769696261015,1.9605172822216956,4.157889301751231
XGBoost,"{'n_estimators': 200, 'max_depth': 3, 'learning_rate': 0.1}",0.9711698485968435,31.358838801712825,0.9760740486454125,29.524714252349764,3.43224925479126,8.243983422621817
